ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
020055700,136200,41328747,1820,WESTVIEW RD,,LOT 8 BK A RUGBY,14287.68
020055000,918600,41328748,908,COTTAGE LN,,LOT 1 BK A RUGBY,0
030052100,453800,41328749,1004,RUGBY RD,,LOT A MALLISON PROP,13416.48
020049000,901200,41328750,1825,WINSTON RD,,LOT 1 BK 7 RUGBY,14287.68
030024000,825300,41328751,1626,RUGBY AVE,,LOT 1 BK B WESTWOOD,16030.08
020061000,1154800,41328752,920,ROSSER LN,,LOT 18 BK 1 RUGBY,15376.68
020054200,949400,41328753,905,COTTAGE LN,,LOT 3 BK B RUGBY,10497.96
030023000,612900,41328754,1618,RUGBY AVE,,LOT 2 BK B WESTWOOD,15986.52
030022000,630500,41328755,1620,RUGBY AVE,,LOT 3 BK B WESTWOOD,15986.52
020055600,741400,41328756,909,ROSSER LN,,LOT 7 BK A RUGBY,15681.6
030021000,743500,41328757,1610,RUGBY AVE,,LOT 4 BK B WESTWOOD,15986.52
030020000,621200,41328758,1606,RUGBY AVE,,LOT 5 BK B WESTWOOD,15986.52
020054000,606100,41328759,1823,WINSTON RD,,LOT 1 BK 5 RUGBY,9452.52
030045100,416200,41328760,1165,KENSINGTON AVE,,LOT A WESTWOOD,8668.44
030019000,496000,41328761,1600,RUGBY AVE,,LOT 6 BK B WESTWOOD,13895.64
030053000,241100,41328762,1224,PRESTON AVE,A&B,LOT,10715.76
020071000,346700,41328763,0,RUGBY RD,,LOT 6 BK 1 RUGBY,24611.4
020060000,989300,41328764,918,ROSSER LN,,PT LOT 17 & PAR X  BK 18 RUGBY,12327.48
020054100,894000,41328765,1821,WINSTON RD,,LOT 2 BK B RUGBY,10802.88
020055100,701700,41328766,904,COTTAGE LN,,LOT 2 BK A RUGBY,9452.52
020055500,754000,41328767,907,ROSSER LN,,LOT 6 BK A RUGBY,12675.96
030144000,2428400,41328768,936,RUGBY RD,,"PT LOTS 31,32 & 30' STRIP",107288.28
030044000,525000,41328769,1163,KENSINGTON AVE,,LOT 3 BK A WESTWOOD,22781.88
030054000,224800,41328770,1222,PRESTON AVE,,LOT,17206.2
030025000,519100,41328771,1619,WESTWOOD RD,,LOT 9 BK B WESTWOOD,15986.52
020055400,875600,41328772,905,ROSSER LN,,LOT 5 BK A RUGBY,13503.6
020072000,1025000,41328773,921,RUGBY RD,,LOT 7 BK 1 RUGBY,14418.36
030026000,789900,41328774,1617,WESTWOOD RD,,LOT 10 BK B WESTWOOD,15986.52
020055200,773600,41328775,1815,WINSTON RD,,LOT 3 BK A RUGBY,11238.48
030027000,530600,41328776,1615,WESTWOOD RD,,LOT 11 BK B WESTWOOD,15986.52
030028000,761200,41328777,1611,WESTWOOD RD,,LOT 12 BK B WESTWOOD,15986.52
030055000,291400,41328778,1220,PRESTON AVE,,LOT,12371.04
020073000,908800,41328779,919,RUGBY RD,,LOT 8 BK 1 RUGBY,13198.68
020055300,734100,41328780,901,ROSSER LN,,LOT 4 BK A RUGBY,16160.76
030043000,773500,41328781,1159,KENSINGTON AVE,,LOT 4 BK A WESTWOOD,24393.6
020074000,1284700,41328782,917,RUGBY RD,,LOT 9 BK 1 RUGBY,12240.36
030056000,326800,41328783,1218,PRESTON AVE,,LOT A,8668.44
030059000,252200,41328784,1214,PRESTON AVE,,LOT 1,12414.6
030057000,40400,41328785,0,PRESTON AVE,,KELLEY JR LOT,10149.48
030139000,2306700,41328786,928,RUGBY RD,,LOT A,53535.24
020075000,959300,41328787,915,RUGBY RD,,LOT 10 BK 1 RUGBY,11107.8
030042000,603900,41328788,1155,KENSINGTON AVE,,LOT 5 BK A WESTWOOD,21605.76
030032000,558800,41328789,1622,WESTWOOD RD,,LOT 1 BK CC WESTWOOD,23348.16
030058000,404500,41328790,1212,PRESTON AVE,,LOT,8712
020076000,631300,41328791,905,RUGBY RD,,LOT 11 BK 1 RUGBY,12980.88
030031000,1190300,41328792,1618,WESTWOOD RD,,LOT 5 BK C WESTWOOD,15986.52
030030000,568400,41328793,1614,WESTWOOD RD,,LOT 4 BK C WESTWOOD,15986.52
030029000,932700,41328794,1610,WESTWOOD RD,,LOT 3 BK C WESTWOOD,15986.52
030143000,302700,41328795,937,HEMLOCK LN,,LOT 1,11369.16
020077000,918800,41328796,901,RUGBY RD,,LOT 12 BK 1 RUGBY,11107.8
030041000,795900,41328797,1151,KENSINGTON AVE,,LOT 6 BK A WESTWOOD,21649.32
030065000,498700,41328798,1208,PRESTON AVE,,RESIDUE OF PT LOTS 7 & 8,15246
030066000,398200,41328799,1204,PRESTON AVE,,LOT 3 & PARCEL X,9931.68
030067000,343800,41328800,1202,PRESTON AVE,,LOT 2,7056.72
030067200,725900,41328801,1607,CABELL AVE,,LOT 4,8145.72
030142000,312000,41328802,935,HEMLOCK LN,,LOT 2,7492.32
030141000,271900,41328803,933,HEMLOCK LN,,LOT 3,7492.32
030033000,819500,41328804,1629,HARDWOOD AVE,,LOT 2 BK CC WESTWOOD,17946.72
030140000,341400,41328805,931,HEMLOCK LN,,LOT 4,8712
030034000,554600,41328806,1625,HARDWOOD AVE,,LOT 3 BK CC WESTWOOD,15986.52
030035000,476300,41328807,1619,HARDWOOD AVE,,LOT 4 BK CC WESTWOOD,15986.52
030040000,520000,41328808,1147,KENSINGTON AVE,,LOT 7 BK A WESTWOOD,21431.52
030139100,747700,41328809,0,CABELL AVE,,LOT B,37810.08
030136000,275900,41328810,936,HEMLOCK LN,,LOT 5,6969.6
030060100,567300,41328811,1609,CABELL AVE,,LOT 1 ROBINSON WOODS,0
030137000,260200,41328812,932,HEMLOCK LN,,LOT 6,7318.08
030039000,612700,41328813,1143,KENSINGTON AVE,,LOT 8 BK A WESTWOOD,38855.52
030138000,263500,41328814,930,HEMLOCK LN,,LOT 7,8015.04
030067100,489200,41328815,1605,CABELL AVE,,LOT 1,7448.76
030038000,488900,41328816,1630,HARDWOOD AVE,,LOT 9 BK A WESTWOOD,21387.96
030037000,460300,41328817,1624,HARDWOOD AVE,,LOT 10 BK A WESTWOOD,15986.52
030036000,513600,41328818,1620,HARDWOOD AVE,,LOT 11 BK A WESTWOOD,15986.52
030128000,1915000,41328819,832,CABELL AVE,,PT LOT 1 & PARCEL X,0
030069000,132800,41328820,1132,PRESTON AVE,,LOT,6882.48
030068000,126800,41328821,101,BARBOUR DR,,LOT 1,6316.2
030126100,5784300,41328822,1123-29,PRESTON AVE,,PARCEL B PRESTON SQ APTS,1393920
030078000,622300,41328823,100,BARBOUR DR,,LOT 8,10193.04
030079000,629500,41328824,1614,CABELL AVE,,LOT 9,9844.56
030080000,0,41328825,0,AMHERST CMN,,COMMON AREA-AMHERST COMMONS,21039.48
030070000,151000,41328826,1138,PRESTON AVE,,LOT,8886.24
030071000,126800,41328827,103,BARBOUR DR,,LOT 2,6446.88
030077000,601000,41328828,102,BARBOUR DR,,LOT 7,9016.92
030073000,423400,41328829,1124,PRESTON AVE,A&B,PARCEL A,7971.48
030072000,126800,41328830,105,BARBOUR DR,,LOT 3,6272.64
030130000,498700,41328831,1117,PRESTON AVE,,LOT PRESTON HEIGHTS,13329.36
030076000,345400,41328832,104,BARBOUR DR,,LOT 6,0
030074000,243100,41328833,107,BARBOUR DR,,LOT 4,6359.76
030075000,126800,41328834,106,BARBOUR DR,,LOT 5,7971.48
030126000,5603500,41328835,1111,PRESTON AVE,,PARCEL A PRESTON SQ APTS,0
030081000,291700,41328836,1114,PRESTON AVE,,LOT,22215.6
030091000,176100,41328837,1112,PRESTON AVE,,LOT 1 TINSLEY TOWN,8842.68
030082000,40400,41328838,0,PRESTON AVE,,LOT 5,9757.44
030127000,213800,41328839,1109,PRESTON AVE,,LOT 11,12545.28
030125000,15144400,41328840,814-828,CABELL AVE,,"LOTS 1-4,7,8,REVISED 6",0
030124000,315000,41328841,1105,PRESTON AVE,,PT LOT 12 JEFFERIES ADDITION,12763.08
030090000,245000,41328842,1108,PRESTON AVE,,PT LOT 2 TINSLEY TOWN,6403.32
030093200,240700,41328843,1102,PRESTON AVE,A&B,LOT 2,7797.24
030093000,353300,41328844,1104,PRESTON AVE,,RESERVED AREA,16901.28
030123000,1115400,41328845,839,MADISON AVE,,PT LOTS 13 & 14,0
030093100,392900,41328846,1100,PRESTON AVE,A&B,LOT 1,9321.84
030089000,398500,41328847,1106,PRESTON AVE,A&B,LOT 3 & PT 7 TINSLEY TOWN,13764.96
030125200,16893200,41328848,704,MADISON AVE,,RESIDUE HAYES GARDENS,0
030118000,3635900,41328849,1015,PRESTON AVE,,LOTS,67953.6
030114000,205700,41328850,712,12TH ST NW,,LOT 14,3528.36
030113000,202900,41328851,708,12TH ST NW,,LOT 13 PARK HEIGHTS,6359.76
040009000,221200,41328852,609,13TH ST NW,,LOT 1 BK 38 PRESTON HEIGHTS,5619.24
030110000,247100,41328853,705,12TH ST NW,,LOT 20 PARK HEIGHTS,4094.64
040002000,452200,41328854,606,14TH ST NW,,LOT 8 & PT 7 BK 38 PRESTON HGT,8015.04
030112000,234900,41328855,706,12TH ST NW,,LOT 12 PARK HEIGHTS,6403.32
030096000,235200,41328856,1011,PRESTON AVE,,LOT A,6926.04
030103000,90100,41328857,124,ROSSER AVE E,,LOT 6 PARK HEIGHTS,7318.08
030102000,213300,41328858,122,ROSSER AVE E,,LOT 5 PARK HEIGHTS,7318.08
030101000,68800,41328859,120,ROSSER AVE E,,LOT 4 PARK HEIGHTS,6882.48
040008000,276400,41328860,603,13TH ST NW,,LOT 2&Y BK 38 PRESTON HEIGHTS,5793.48
030100000,138100,41328861,118,ROSSER AVE E,,LOT 3 PARK HEIGHTS,5488.56
030099000,167700,41328862,116,ROSSER AVE E,,LOT 2 PARK HEIGHTS,4704.48
030098000,198300,41328863,114,ROSSER AVE E,,LOT 1 PARK HEIGHTS,4965.84
030109000,324300,41328864,703,12TH ST NW,,LOT 19 PARK HEIGHTS,4399.56
030111000,243300,41328865,704,12TH ST NW,,LOT 11 PARK HEIGHTS,5401.44
040003000,457300,41328866,604,14TH ST NW,,LOT 9 BK 38 PRESTON HEIGHTS,6490.44
040010000,300000,41328867,608,13TH ST NW,,LOT 9 & PT 10 BK 37 PRESTON HG,7230.96
030104000,174800,41328868,126,ROSSER AVE E,,LOT 7 PARK HEIGHTS,5706.36
030097000,319400,41328869,100,ROSSER AVE E,,LOT A,9147.6
040005000,329600,41328870,1305,GRADY AVE,,LOT 3 BK 38 PRESTON HEIGHTS,6272.64
030107000,232900,41328871,132,ROSSER AVE E,,LOT 10 PARK HEIGHTS,4007.52
040006000,74900,41328872,0,GRADY AVE,,PT LOT 2 BK 38 PRESTON HGTS,4573.8
030106000,163800,41328873,130,ROSSER AVE E,,LOT 9 PARK HEIGHTS,4007.52
030108000,191400,41328874,200,ROSSER AVE E,,LOT 18 PARK HEIGHTS,3136.32
030105000,156500,41328875,128,ROSSER AVE E,,LOT 8 PARK HEIGHTS,4007.52
040004000,244900,41328876,600,14TH ST NW,,LOT 10 BK 38 PRESTON HEIGHTS,6490.44
040007100,276300,41328877,605,13TH ST NW,,PT LOTS 1&2 BK 38 PRESTON HGTS,3441.24
040015000,282100,41328878,1207,GRADY AVE,,PT LOT 1-8&19 BK 37 PREST HGT,7840.8
040012000,325500,41328879,604,13TH ST NW,,LOT BK 37 PRESTON HEIGHTS,5488.56
040017000,148700,41328880,205,ROSSER AVE E,,LOT BK 37 PRESTON HEIGHTS,3571.92
040018000,426400,41328881,201,ROSSER AVE E,,"PT LOTS 1-8,LOT 19 BK 37 P HGT",18164.52
040007000,297300,41328882,1301,GRADY AVE,,PT LOT 1 BK 38 PRESTON HEIGHTS,3702.6
040013000,220500,41328883,602,13TH ST NW,,LOT 13&PT 12 BK 37 PRESTON HGT,5357.88
040111000,566500,41328884,510,14TH ST NW,,LOT 1 BK 10 PRESTON HEIGHTS,7623
040016000,229600,41328885,1205,GRADY AVE,,LOT BK 37 PRESTON HEIGTHS,5140.08
040014000,196300,41328886,1215,GRADY AVE,,LOT A  BK 37 PRESTON HEIGHTS,4660.92
040022000,195700,41328887,131,ROSSER AVE E,,LOTS 10&18 BK 36 PRESTON HGTS,6621.12
040023000,350700,41328888,521,11TH ST NW,,LOT 1 PRESTON HEIGHTS,4791.6
040039200,364500,41328889,612,11TH ST NW,,LOT 3 JOHN WEST LOTS,7187.4
040019000,320400,41328890,604,12TH ST NW,,PT LOTS 11-17 BK 36 PRESTON HG,0
040039000,245200,41328891,615,10 1/2 ST NW,,LOT 1 JOHN WEST LOTS,7056.72
040112000,464400,41328892,508,14TH ST NW,,LOT 2 BK 10 PRESTON HEIGHTS,6229.08
040110000,224400,41328893,523,13TH ST NW,,PT LOT 1 BK 10 PRESTON HGTS,5009.4
040020000,341100,41328894,1105,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040024000,239600,41328895,517,11TH ST NW,,LOT 2 & PAR X PRESTON HGTS,3920.4
040021000,249600,41328896,1101,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040040000,187200,41328897,608,10 1/2 ST NW,,LOTS 22&22 1/2 JOHN WEST LOT,10585.08
040039100,210000,41328898,611,10 1/2 ST NW,,LOT 2 JOHN WEST LOTS,6359.76
040038000,216300,41328899,610,11TH ST NW,,PT LOT 20 JOHN WEST LOTS,5445
040109000,336000,41328900,511,13TH ST NW,,LOT 13 BK 10 PRESTON HEIGHTS,6229.08
040113000,519500,41328901,506,14TH ST NW,,LOT 3 BK 10 PRESTON HEIGHTS,6229.08
040025000,237800,41328902,607,11TH ST NW,,LOTS 3 & 4 BK 36 PRESTON HGTS,4922.28
040041000,1223900,41328903,1010,PRESTON AVE,,"LOTS 23,23 1\2,PT 24&25 JOHN W",18905.04
040100000,419500,41328904,512,13TH ST NW,,LOTS 13&14 BK 9 PRESTON HGTS,6490.44
040036000,183900,41328905,609,10 1/2 ST NW,,PT LOT 20 JOHN WEST LOTS,5445
