ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
010001600,104320800,41328594,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2
010001200,1553900,41328595,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8
010001500,1871300,41328596,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52
010001000,173000100,41328597,1117,EMMET ST N,,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,1937043.504
010001300,1050000,41328598,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04
010001400,14762600,41328599,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72
010004100,4668900,41328600,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96
010001700,8348700,41328601,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16
010004000,3828700,41328602,1138,EMMET ST N,,LOT M,109104.732
010004300,764500,41328603,1134,EMMET ST N,,LOT 2B,8886.24
010005000,317900,41328604,0,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36
010018000,12861500,41328605,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96
010006000,1403000,41328606,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88
010017100,1516700,41328607,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56
010007000,1716800,41328608,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",32670
010016000,810300,41328609,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560
010008000,375700,41328610,0,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64
010017000,1099800,41328611,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56
010015000,1151900,41328612,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64
010009000,1216600,41328613,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56
010014000,1474200,41328614,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96
010019000,769000,41328615,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534
010020000,1368300,41328616,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6
020001000,317900,41328617,0,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88
010012000,811700,41328618,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16
010021000,1307800,41328619,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64
020002000,173300,41328620,0,BARRACKS RD,,PT LOT 2,25003.44
010011000,1105400,41328621,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64
020003000,1336500,41328622,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32
010033000,595100,41328623,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12
010048000,3041700,41328624,918,EMMET ST N,,LOT A-2,32626.44
010022000,1405700,41328625,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76
010034000,1005600,41328626,1882,FIELD RD,,LOT 17 & PT 18 BK 8 RUGBY,14157
010030100,890900,41328627,1871,FIELD RD,,PT LOTS 7 & 8 BK 9 RUGBY,14244.12
010010000,1131300,41328628,1851,WESTVIEW RD,,LOT 8 & PT 7 BK 11 RUGBY,40510.8
010023000,908300,41328629,1880,WESTVIEW RD,,LOT 14 BK 9 RUGBY,14984.64
010048200,2995500,41328630,914,EMMET ST N,,LOT A-1,30230.64
020004000,627200,41328631,120,BUCKINGHAM RD,,LOT 1 RUGBY SIDE,24175.8
010035000,697600,41328632,1874,FIELD RD,,LOT 16 BK 8 RUGBY,17511.12
010047000,1037000,41328633,905,FENDALL TER,,"LOT 15, PT 14 & STR BK 6 RUGBY",70000.92
010030000,894200,41328634,1869,FIELD RD,,PT LOTS 6 & 7 BK 9 RUGBY,14244.12
020005000,1115100,41328635,128,BUCKINGHAM RD,,LOTS 2 & 3 RUGBY SIDE,39552.48
010049000,867700,41328636,900,EMMET ST N,,LOT 3 BK 4 DUKE,18077.4
020026000,1879600,41328637,1861,WESTVIEW RD,,"LOTS 9,10 & PT 11 BK 11 RUGBY",76186.44
010036000,799100,41328638,1872,FIELD RD,,LOT 15 BK 8 RUGBY,17511.12
010029000,907500,41328639,1867,FIELD RD,,LOT 5 & PT 6 BK 9 RUGBY,18556.56
010049100,477900,41328640,0,EMMET ST N,,LOT,9191.16
020006300,656900,41328641,118,BUCKINGHAM RD,,LOT 8 RUGBY SIDE,27355.68
010048100,972200,41328642,902,EMMET ST N,,LOT B,20255.4
010037000,981600,41328643,1870,FIELD RD,,LOT 14 BK 8 RUGBY,17511.12
020007000,931700,41328644,104,BUCKINGHAM RD,,LOT 4 RUGBY SIDE,22172.04
010026000,1000000,41328645,1852,WESTVIEW RD,,LOT 17 & PT 16 & 18 BK 9 RUGBY,24393.6
020008000,473200,41328646,1820,BARRACKS RD,,LOT 1,10890
020025000,2198900,41328647,1839,WESTVIEW RD,,LOT 12A &REVISED LOT 12 BK 11 RUGBY,80150.4
020009000,498500,41328648,1812,BARRACKS RD,,LOT 2,14113.44
010028000,825800,41328649,1865,FIELD RD,,LOT 4 BK 9 RUGBY,14984.64
010038000,1419900,41328650,1868,FIELD RD,,LOT 13 BK 8 RUGBY,17511.12
010041000,1667300,41328651,906,FENDALL TER,,"LOTS B,C & STRIP RUGBY",45825.12
020006200,567100,41328652,114,BUCKINGHAM RD,,LOT 7 RUGBY SIDE,17903.16
020024000,1768300,41328653,1833,WESTVIEW RD,,LOT 14 (4.039 ACRES),175938.84
020014000,636900,41328654,1808,BARRACKS RD,,LOT 3 HOWARD,16814.16
010027000,878800,41328655,1863,FIELD RD,,LOT 3 BK 9 RUGBY,14897.52
020006000,812600,41328656,108,BUCKINGHAM RD,,LOT 5 RUGBY SIDE,19340.64
020027000,1022700,41328657,1848,WESTVIEW RD,,PT LOTS 18 & 19 BK 9 RUGBY,16944.84
020006100,511200,41328658,110,BUCKINGHAM RD,,LOT 6 RUGBY SIDE,22999.68
010046000,1291700,41328659,901,FENDALL TER,,LOT 13 & PT 14 BK 6 RUGBY,29228.76
020010000,439800,41328660,116,HOWARD DR,,LOT 8 HOWARD,9844.56
010039000,772800,41328661,1866,FIELD RD,,LOT 12 BK 8 RUGBY,17511.12
020015000,603400,41328662,1806,BARRACKS RD,,LOT 4,15725.16
020032000,1190800,41328663,1861,FIELD RD,,LOT 2 & PT 1 BK 9 RUGBY,18730.8
020028000,982100,41328664,1844,WESTVIEW RD,,"PT LOTS 19,20 & STR BK 9 RUGBY",18730.8
010040000,832600,41328665,1864,FIELD RD,,LOT 11 BK 8 RUGBY,17511.12
020011000,644800,41328666,114,HOWARD DR,,LOT 7 HOWARD,0
020016000,630700,41328667,1800,BARRACKS RD,,LOT A,17075.52
020021000,789700,41328668,941,ROSSER LN,,LOT C BK 13 RUGBY,63336.24
020013000,422500,41328669,110,HOWARD DR,,LOT 5,7710.12
010043000,904400,41328670,1861,WINSTON RD,,LOT A RUGBY,16030.08
010045000,951000,41328671,1867,WINSTON RD,,LOT 1 & PT 2 BK 5 RUGBY,11979
020019100,917400,41328672,947,ROSSER LN,,PARCEL B RUGBY,26397.36
020016200,566700,41328673,1109,RUGBY RD,,LOT C,8319.96
020012000,508100,41328674,112,HOWARD DR,,LOT 6,10062.36
020031000,1662000,41328675,1859,FIELD RD,,"LOT 1 & PT 23&24, PAR X BK 9 RUGBY",24175.8
020033000,1012800,41328676,1862,FIELD RD,,LOT 10 BK 8 RUGBY,25221.24
010044000,1525800,41328677,1863,WINSTON RD,,"LOTS 3,4 & PT 2 BK 5 RUGBY",18730.8
020029000,1156900,41328678,1834,WESTVIEW RD,,"LOT 21&PT 20,23&24 BK 9 RUGBY",25700.4
020020000,1185600,41328679,945,ROSSER LN,,LOT 5 & PT 4 BK 13 RUGBY,18687.24
020016100,607700,41328680,1107,RUGBY RD,,LOT B,9757.44
010042000,779300,41328681,1859,WINSTON RD,,PT LOTS 5 & 6 BK 5 RUGBY,7492.32
020037000,966800,41328682,1860,FIELD RD,,LOT 9 BK 8 RUGBY,21649.32
020017000,822300,41328683,1105,RUGBY RD,,PT LOT 5,26353.8
020034000,666000,41328684,1857,WINSTON RD,,LOT 7 & PT 6 BK 5 RUGBY,11238.48
020019000,1830900,41328685,1101,RUGBY RD,,PARCEL A RUGBY,51836.4
020023100,1827700,41328686,1829,WESTVIEW RD,,LOT B BK 8 RUGBY,28270.44
020038000,838700,41328687,1858,FIELD RD,,LOT 8 BK 8 RUGBY,24219.36
020035000,893100,41328688,1855,WINSTON RD,,LOT 8 & PT 9 BK 5 RUGBY,16204.32
020022000,1127700,41328689,939,ROSSER LN,,LOT D BK 13 RUGBY,33584.76
020042000,837100,41328690,1856,FIELD RD,,LOT 7 BK 8 RUGBY,13634.28
020044000,779300,41328691,919,OLD FARM RD,,LOT 5 BK 8 ROSSER,11674.08
030001000,644000,41328692,1106,RUGBY RD,,LOT RUGBY,18556.56
020036000,631900,41328693,1851,WINSTON RD,,PT LOTS 9 & 10 BK 5 RUGBY,14984.64
020043000,837000,41328694,1854,FIELD RD,,LOT 6 BK 8 RUGBY,14636.16
030003000,576000,41328695,1717,RUGBY AVE,,LOT,11586.96
030005000,555500,41328696,1715,RUGBY AVE,,PT LOT 2,10846.44
020053000,809500,41328697,1832,WESTVIEW RD,,LOT 6 & PT 5 BK 7 RUGBY,17467.56
020066000,906200,41328698,942,ROSSER LN,,LOT 23 BK I RUGBY,25700.4
020045000,741600,41328699,913,OLD FARM RD,,LOT 4 BK 8 RUGBY,11238.48
030006100,966400,41328700,1705,RUGBY AVE,,LOT A,27834.84
020039000,725100,41328701,1849,WINSTON RD,,PT LOTS 10 & 11 BK 5 RUGBY,12763.08
030006000,729000,41328702,1701,RUGBY AVE,,LOT B,20734.56
030002000,647800,41328703,1102,RUGBY RD,,PT LOT RUGBY,16335
020040000,388000,41328704,1847,WINSTON RD,,PT LOT 11 BK 5 RUGBY,9016.92
030007000,343500,41328705,1106,STONEFIELD LN,,LOT 2 RUGBY WOODS,7797.24
020065000,734300,41328706,938,ROSSER LN,,LOTS 22 & B BK 1 RUGBY,22389.84
020046000,771500,41328707,911,OLD FARM RD,,LOTS 2A & 3 BK 8 RUGBY,15812.28
020052000,980800,41328708,916,OLD FARM RD,,PT LOTS 4 & 5 BK 7 RUGBY,12371.04
030004000,876200,41328709,1711,RUGBY AVE,,LOT,11543.4
020041000,755400,41328710,1843,WINSTON RD,,LOTS 12 & 13 BK 8 RUGBY,26702.28
020054600,896200,41328711,915,COTTAGE LN,,LOT 7 BK B RUGBY,13285.8
020068000,2705600,41328712,1007,RUGBY RD,,LOTS 1 & 2A BK 1 RUGBY,80803.8
030009000,354400,41328713,1641,RUGBY AVE,,LOT 2 RUGBY WOODS,11238.48
030010000,700600,41328714,1637,RUGBY AVE,,LOTS 3 & 3A RUGBY WOODS,13503.6
020023000,2041600,41328715,1801,WESTVIEW RD,,LOT A1 BK 13 RUGBY,47785.32
030011000,164900,41328716,1627,RUGBY AVE,,LOT 4 RUGBY WOODS,12283.92
020051000,728000,41328717,912,OLD FARM RD,,PT LOTS 3 & 4 BK 7 RUGBY,16509.24
020064000,904800,41328718,932,ROSSER LN,,LOT A BK 1 RUGBY,21823.56
030012000,590300,41328719,1625,RUGBY AVE,,LOT 5 RUGBY WOODS,12240.36
030008000,464200,41328720,1643,RUGBY AVE,,LOT 1 RUGBY WOODS,7274.52
030013000,438800,41328721,1623,RUGBY AVE,,LOT 6 RUGBY WOODS,12283.92
020047000,776100,41328722,907,OLD FARM RD,,LOT 2 BK 8 RUGBY,14026.32
030014000,680300,41328723,1621,RUGBY AVE,,LOT A-1 RUGBY WOODS,12066.12
020054500,1203400,41328724,911,COTTAGE LN,,LOT 6 BK B RUGBY,9931.68
030015000,836700,41328725,1105,HERNDON RD,,LOT B-1 RUGBY WOODS,11935.44
020055101,796000,41328726,1828,WESTVIEW RD,,LOT 11 BK A RUGBY,13982.76
030016000,1020800,41328727,1549,RUGBY AVE,,LOT 9 & PT 10 RUGBY WOODS,17380.44
020063000,1073100,41328728,928,ROSSER LN,,LOT 20 BK 1 RUGBY,19297.08
030018000,407000,41328729,1545,RUGBY AVE,,PT LOT 10 RUGBY WOODS,10367.28
020050000,1122500,41328730,910,OLD FARM RD,,LOT A RUGBY,16335
020055900,231100,41328731,1824,WESTVIEW RD,,LOT 10 BK A RUGBY,10018.8
020048000,835700,41328732,1839,WINSTON RD,,LOT 1 BK 8 RUGBY,13808.52
030052000,703900,41328733,1006,RUGBY RD,,LOT B MALLISON PROP,17206.2
020054400,585200,41328734,909,COTTAGE LN,,LOT 5 BK B RUGBY,11107.8
030051000,543300,41328735,1718,RUGBY AVE,,PT LOT 2,23261.04
020055110,437400,41328736,910,COTTAGE LN,,LOT 12 BK A RUGBY,10846.44
030050000,478900,41328737,1710,RUGBY AVE,,PT LOT 2,23304.6
020055800,1112400,41328738,1822,WESTVIEW RD,,LOT 9 BK A RUGBY,12283.92
030049000,629200,41328739,1708,RUGBY AVE,,LOT 3,19079.28
030048000,520800,41328740,1706,RUGBY AVE,,LOT 4,16727.04
020062000,893300,41328741,924,ROSSER LN,,LOT 19 BK 1 RUGBY,16509.24
030047000,670700,41328742,1702,RUGBY AVE,,LOT 5 & PARCEL X,20255.4
020050100,884100,41328743,906,OLD FARM RD,,LOT B RUGBY,13852.08
030046000,806500,41328744,1700,RUGBY AVE,,LOT 6 & STRIP,24742.08
020054300,849700,41328745,907,COTTAGE LN,,LOT 4 BK B RUGBY,10497.96
030045000,1058300,41328746,1698,RUGBY AVE,,LOT B WESTWOOD,32060.16
