RecordID_Int,Acreage,GPIN,IsActive,Legal,ParcelNumber,StreetNumber,StreetName,StateCode,TaxDist,TaxType,Unit,Zone
12983,0.143,7876,1,LOT 3 BK 7 THE FARM,540237000,315,MEADE AVE,1.0 Residential (Urban),01,Taxable,,R-1S
12984,0.191,7819,1,LOT 5 BK C OLD FARM,540238000,308,13TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12985,0.158,7886,1,LOT 4 BK C OLD FARM,540239000,306,13TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12986,0.14,7915,1,LOT 4 BK 7 THE FARM,540240000,313,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12987,0.143,7958,1,LOT 5 BK 7 THE FARM,540241000,311,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12988,0.181,7936,1,LOT 3 BK C OLD FARM,540242000,304,13TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12989,0.287,8001,1,LOTS 6 & 7 BK 7 THE FARM,540243000,309,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12990,0.158,7982,1,LOT 2 BK C OLD FARM,540244000,302,13TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12991,0.165,8048,1,LOT 1 BK C OLD FARM,540245000,300,13TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12992,0.143,8101,1,LOT 8 BK 7 THE FARM,540246000,305,MEADE AVE,1.0 Residential (Urban),01,Taxable,,R-1S
12993,0.161,8207,1,LOT 10 BK 7 THE FARM,540247000,301,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12994,0.161,8251,1,LOT 11 BK 7 THE FARM,540248000,215,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12995,0.161,8289,1,LOT 12 BK 7 THE FARM,540249000,213,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12996,0.161,8326,1,LOT 13 BK 7 THE FARM,540250000,211,MEADE AVE,1.0 Residential (Urban),,Taxable,,R-1S
12997,0.321,8369,1,LOT 14 PT 15&16 BK 7 THE FARM,540251000,209,MEADE AVE,3.0 Multi-Family,,Taxable,,R-1S
12998,0.471,8417,1,"LOT 18 PT 15,16,19 THE FARM",540253000,1221,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,M-I
12999,0.17,8531,1,LOT 17 BK 7 OLD FARM,540254000,1219,E MARKET ST,1.0 Residential (Urban),,Taxable,,M-I
13000,4.009,8129,1,LOT BK D THE FARM,540255000,1215,E MARKET ST,4.0 Commercial & Industrial,,Taxable,,M-I
13001,0.242,8189,1,LOT 10 BK D OLD FARM,540256000,1220,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13002,0.245,8188,1,LOT 9 BK D OLD FARM,540257000,1218,E JEFFERSON ST,3.0 Multi-Family,,Taxable,,R-1S
13003,0.19,8182,1,LOT 8 BK D OLD FARM,540258000,1214,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13004,0.154,8154,1,LOT 7 BK D OLD FARM,540259000,1212,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13005,0.153,8124,1,LOT 6 BK D OLD FARM,540260000,1210,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13006,0.15,8092,1,LOT 5 BK D OLD FARM,540261000,1208,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13007,0.149,8067,1,LOT 4 BK D OLD FARM,540262000,1206,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13008,0.152,8038,1,LOT 3 BK D OLD FARM,540263000,1204,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
13009,0.16,8002,1,LOT 2 BK D OLD FARM,540264000,1202,E JEFFERSON ST,1.0 Residential (Urban),,Taxable,,R-1S
